date,open,close,high,low,volume,money
2014-01-01,3.999981993027093,3.999564113129439,4.003142101210014,3.9706992861132986,330798561,1885600000
2014-01-02,3.984948557313216,4.000616400480119,4.029244448497302,3.927502811736115,327529683,1540300000
2014-01-03,3.9944327628076852,4.0005485068612945,4.020812498493406,3.989884213556229,107300909,1446200000
2014-01-04,4.014935904550188,3.999526137106284,4.014935904550188,3.9358443580449287,474133410,943500000
2014-01-05,4.004908771395817,4.001412857521957,4.063076440274419,3.9969916508868786,181225625,1156300000
2014-01-06,3.987628846163613,4.002158292717311,4.068200908419502,3.9850759239241844,230364522,1372000000
2014-01-07,4.0208600138308865,4.003138425703873,4.028328288122306,3.9381170781038923,376948952,784500000
2014-01-08,4.02810682624393,4.004703031302955,4.02810682624393,3.988365271075939,140554181,1127400000
2014-01-09,4.036589339660255,4.005475264020463,4.036589339660255,3.9908526523806085,437876239,1333000000
2014-01-10,4.038852651346129,4.005152081741327,4.038852651346129,3.9565797529800095,177798598,536300000
2014-01-11,4.036123266458941,4.007561537336443,4.036123266458941,3.9731138645850717,220439358,864200000
2014-01-12,3.990027502112716,4.007569523053182,4.047965574370606,3.9111230297670203,401820895,1336800000
2014-01-13,4.011789868285189,4.009811167505916,4.059939067926356,3.9639801566662323,251708867,1184900000
2014-01-14,3.994392864725389,4.008678292233608,4.0221014460045454,3.993100198591448,253824675,1911100000
2014-01-15,4.003380540073744,4.008054315341257,4.01196395349544,3.959351217160603,232429946,1652200000
2014-01-16,4.00299263711203,4.006769753023408,4.011836908781197,4.000848013085934,112141530,1289500000
2014-01-17,4.011370368470369,4.007067177189477,4.048729735393903,3.9862386123129703,443598191,1675800000
2014-01-18,4.013487068086016,4.005633574632254,4.025809606039227,3.978969944113286,117430370,838800000
2014-01-19,4.027641288670761,4.005549710888996,4.05588460694356,3.9782022269105104,307735209,1733900000
2014-01-20,3.9931266205124185,4.005540226421926,4.076018520975967,3.944102340938441,332242059,1415600000
2014-01-21,3.974865913668002,4.006970770519891,4.022337425128822,3.91858593426144,499572620,1653600000
2014-01-22,4.0360154082993,4.008429891447116,4.0360154082993,3.955257748167729,185543488,1699500000
2014-01-23,4.018425214015692,4.010118805011107,4.056241031888943,3.9836900189378253,441204495,1655100000
2014-01-24,4.039240346379113,4.012069242036678,4.062611115474962,3.9982155166811033,268260780,1913900000
2014-01-25,3.9858914579711717,4.013178110133231,4.025824503916811,3.9758030753389146,186577476,1724400000
2014-01-26,4.025940207935076,4.013576226247163,4.030323550362416,3.933911434773824,309282182,1173500000
2014-01-27,3.9746851656284035,4.01528768451787,4.070104164060518,3.9746851656284035,121616201,537600000
2014-01-28,4.005086359646945,4.01600458027752,4.024638797509514,3.9903627497604575,437534374,1425300000
2014-01-29,4.009717339253025,4.01595093107037,4.056524639619836,3.9833503577566587,462477254,1744100000
2014-01-30,4.001995784428979,4.0161188103734915,4.091343530026901,3.9903089671354475,489651783,1174000000
2014-01-31,4.011453767217544,4.01468700039602,4.0272826796588905,3.9204782283178257,336345995,1862500000
2014-02-01,4.0044165049580736,4.013674598502309,4.09448099013707,3.996042956433765,271804084,1957900000
2014-02-02,4.0091106346373975,4.013049260666694,4.049655610881694,3.9734628485968018,257380705,952600000
2014-02-03,4.041148069049373,4.013473856440194,4.042753038950787,3.961296302823546,130258002,1713500000
2014-02-04,4.036264932204493,4.01480552865953,4.041798642663444,4.004788972843818,453959154,1051800000
2014-02-05,4.010553097750672,4.0150626113350105,4.085271210515125,4.010553097750672,255931515,1093000000
2014-02-06,3.9956850518075595,4.014352194295643,4.043045675700644,3.9956850518075595,145201142,1176200000
2014-02-07,4.007127367073548,4.015469560922343,4.0518985830313,4.006067139208561,236287042,758700000
2014-02-08,3.996874703948835,4.017127403446941,4.057697942570521,3.996874703948835,239541927,854700000
2014-02-09,4.015674673120009,4.01871496386361,4.073343136767855,3.9929063804985176,211606218,1137000000
2014-02-10,4.0480888965857185,4.019482393467905,4.064921766342795,4.0150625714471975,345994410,643400000
2014-02-11,4.046573630019617,4.019419252454189,4.046573630019617,3.987376927570576,121701525,1561400000
2014-02-12,3.9968401269150133,4.019950391886119,4.037632989658012,3.974761599436191,112290346,1957500000
2014-02-13,4.004412911630411,4.020529316671865,4.09063196430872,3.9605058753640456,233374904,1697200000
2014-02-14,4.034490246073542,4.022202015647627,4.034490246073542,3.9346017368937063,122206389,1133900000
2014-02-15,4.014122406402461,4.023190464120731,4.078183119567881,3.9875613602103206,422291036,1168100000
2014-02-16,4.012148068574721,4.0244738383211915,4.0657671332570455,4.012148068574721,250416851,1251300000
2014-02-17,4.034984882778091,4.025937827208602,4.043874717443586,3.9884686233828655,433845948,1442000000
2014-02-18,4.028747600182169,4.028249105184118,4.061679536475141,3.984900510882799,183925141,1081000000
2014-02-19,4.0218269488151615,4.0282412132439624,4.033360411206349,3.9836597696131224,305014140,1290900000
2014-02-20,4.03090287828083,4.028474919568302,4.05974744662353,4.027651170295664,386293333,1401600000
2014-02-21,4.017739791295527,4.027182054400106,4.043705133412739,4.014350772918971,482700191,1673400000
2014-02-22,4.024729132659471,4.029354616070873,4.077666060893994,4.009633827429296,312059059,1291700000
2014-02-23,4.055165464216999,4.029573322244999,4.055165464216999,3.9763375674030583,143390044,549600000
2014-02-24,4.010000548540766,4.030654299517794,4.086205749910835,4.010000548540766,228475664,1867100000
2014-02-25,4.033232972293615,4.029485556666834,4.054204995175141,3.992531606404957,131133829,1954100000
2014-02-26,4.0349719732339375,4.029797952027506,4.048121411882671,3.977072573219343,431726225,885600000
